ds,ds,y,residual1,yhat1,trend,season_yearly
2000,2000-12-31,791,448.31201171875,1239.31201171875,1187.34423828125,51.967655181884766
2001,2001-12-31,2866,-826.8638916015625,2039.1361083984375,1972.387451171875,66.7485580444336
2002,2002-12-31,1734,615.48095703125,2349.48095703125,2268.100830078125,81.38025665283203
2003,2003-12-31,2582,-258.924072265625,2323.075927734375,2227.21826171875,95.8576889038086
2004,2004-12-31,1909,220.2177734375,2129.2177734375,2077.250244140625,51.967655181884766
2005,2005-12-31,2100,-525.883056640625,1574.116943359375,1507.368408203125,66.7485580444336
2006,2006-12-31,481,664.409912109375,1145.409912109375,1064.029541015625,81.38025665283203
2007,2007-12-31,1247,-305.181884765625,941.818115234375,845.96044921875,95.8576889038086
2008,2008-12-31,475,246.533935546875,721.533935546875,669.5662841796875,51.967655181884766
2009,2009-12-31,999,-207.96533203125,791.03466796875,724.2861328125,66.7485580444336
2010,2010-12-31,914,204.139892578125,1118.139892578125,1036.759765625,81.38025665283203
2011,2011-12-31,1769,12.23291015625,1781.23291015625,1685.375244140625,95.8576889038086
2012,2012-12-31,2062,-320.4776611328125,1741.5223388671875,1689.5546875,51.967655181884766
2013,2013-12-31,870,285.098876953125,1155.098876953125,1088.350341796875,66.7485580444336
2014,2014-12-31,489,-66.07809448242188,422.9219055175781,341.5416564941406,81.38025665283203
2015,2015-12-31,920,82.41961669921875,1002.4196166992188,906.5618896484375,95.8576889038086
2016,2016-12-31,1331,194.0966796875,1525.0966796875,1473.1290283203125,51.967655181884766
2017,2017-12-31,3114,-1009.103271484375,2104.896728515625,2038.1480712890625,66.7485580444336
2018,2018-12-31,1212,1472.548583984375,2684.548583984375,2603.16845703125,81.38025665283203
2019,2019-12-31,3864,-599.955078125,3264.044921875,3168.187255859375,95.8576889038086
2020,2020-12-31,6773,-2986.27734375,3786.72265625,3734.755126953125,51.967655181884766
2021,2021-12-31,7317,-2950.47802734375,4366.52197265625,4299.7734375,66.7485580444336
2022,2022-12-31,16941,-11994.82666015625,4946.17333984375,4864.79296875,81.38025665283203
2023,2023-12-31,1176,4349.67138671875,5525.67138671875,5429.81396484375,95.8576889038086
2024,2024-12-31,,,6048.34814453125,5996.3798828125,51.967655181884766
2025,2025-12-31,,,6628.1484375,6561.39990234375,66.7485580444336
2026,2026-12-31,,,7207.7998046875,7126.41943359375,81.38025665283203
